tempo,       mem, livreMem, swap, livreSwap, cpu, disponivel
3156,   3660 , 1428 ,  31   , 2065, 6.34   , 3505
88,   3661 , 1431 ,  31   , 2065, 6.34   , 3508
3157,   3660 , 1431 ,  31   , 2065, 6.34   , 3509
89,   3661 , 1430 ,  31   , 2065, 6.34   , 3508
3158,   3661 , 1430 ,  31   , 2065, 6.34   , 3508
90,   3660 , 1426 ,  31   , 2065, 6.34   , 3504
3159,   3660 , 1425 ,  31   , 2065, 6.34   , 3503
91,   3661 , 1427 ,  31   , 2065, 6.34   , 3504
3160,   3661 , 1427 ,  31   , 2065, 6.34   , 3504
92,   3661 , 1428 ,  31   , 2065, 6.34   , 3506
3161,   3661 , 1427 ,  31   , 2065, 6.34   , 3509
93,   3662 , 1430 ,  31   , 2065, 6.34   , 3508
3162,   3662 , 1425 ,  31   , 2065, 6.34   , 3503
94,   3660 , 1426 ,  31   , 2065, 6.34   , 3504
3163,   3661 , 1425 ,  31   , 2065, 6.34   , 3504
95,   3661 , 1426 ,  31   , 2065, 6.34   , 3504
3164,   3662 , 1425 ,  31   , 2065, 6.34   , 3504
96,   3662 , 1430 ,  31   , 2065, 6.33   , 3509
3165,   3663 , 1427 ,  31   , 2065, 6.33   , 3506
97,   3662 , 1428 ,  31   , 2065, 6.33   , 3507
3166,   3664 , 1426 ,  31   , 2065, 6.33   , 3505
98,   3662 , 1428 ,  31   , 2065, 6.33   , 3507
3167,   3663 , 1426 ,  31   , 2065, 6.33   , 3506
99,   3662 , 1432 ,  31   , 2065, 6.33   , 3511
3168,   3663 , 1431 ,  31   , 2065, 6.33   , 3511
100,   3664 , 1431 ,  31   , 2065, 6.33   , 3510
3169,   3662 , 1433 ,  31   , 2065, 6.33   , 3513
101,   3664 , 1431 ,  31   , 2065, 6.33   , 3511
3170,   3663 , 1432 ,  31   , 2065, 6.33   , 3508
102,   3663 , 1426 ,  31   , 2065, 6.32   , 3506
3172,   3664 , 1426 ,  31   , 2065, 6.32   , 3507
103,   3664 , 1426 ,  31   , 2065, 6.32   , 3507
3173,   3664 , 1427 ,  31   , 2065, 6.32   , 3508
104,   3665 , 1425 ,  31   , 2065, 6.32   , 3507
3174,   3664 , 1429 ,  31   , 2065, 6.32   , 3511
105,   3666 , 1428 ,  31   , 2065, 6.32   , 3509
3175,   3666 , 1428 ,  31   , 2065, 6.32   , 3510
106,   3668 , 1426 ,  31   , 2065, 6.32   , 3508
3176,   3667 , 1427 ,  31   , 2065, 6.32   , 3509
108,   3667 , 1426 ,  31   , 2065, 6.32   , 3508
3177,   3667 , 1426 ,  31   , 2065, 6.31   , 3507
109,   3667 , 1425 ,  31   , 2065, 6.31   , 3507
3178,   3668 , 1425 ,  31   , 2065, 6.31   , 3507
110,   3653 , 1440 ,  31   , 2065, 6.31   , 3522
3179,   3653 , 1440 ,  31   , 2065, 6.31   , 3522
111,   3652 , 1444 ,  31   , 2065, 6.31   , 3527
3180,   3652 , 1445 ,  31   , 2065, 6.31   , 3527
